租房简介,户型,是否整租,装修情况,楼层情况,面积,朝向,价格,单位,中介
0中芥 短租 百宏御景天下 万达广场 永辉超市 精装独卫阳台,1室1厅1卫,整租,精装修,高层(共32层),70 平方米,朝南,1200,元/月,杨阳
万达现代风大四房 押1付1 带露台,4室2厅2卫,整租,精装修,低层(共32层),134.3 平方米,朝南,2500,元/月,邹胜男
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,中层(共32层),20 平方米,朝南,1000,元/月,匡亚雨
城东德辉片区御景天下3房2厅2卫家具齐全拎包入住,3室2厅2卫,整租,简单装修,中层(共30层),106 平方米,朝南,2700,元/月,廖锦治
顶层复式三层空中别墅380平可办工可住家 带露台 5房4卫,5室2厅4卫,整租,精装修,共1层,121 平方米,朝南,4500,元/月,何蓉均
百宏御景天下 3房2厅2卫 电梯房 精装修 家具齐全,3室2厅2卫,整租,精装修,高层(共22层),135 平方米,朝南,2000,元/月,朱高樊
年底特惠 可短租|百宏御璟天下 近万达广场 独卫民水民电精装,1室0厅1卫,整租,精装修,中层(共30层),70 平方米,朝南,1200,元/月,叶佳庚
万达旁 百宏御璟天下 通风好 137平 家电齐全,4室2厅2卫,整租,精装修,中层(共32层),137.9 平方米,朝南,2300,元/月,贺小林
出租七小附近160平精装大三房 高层有电梯 家具齐全拎包入住,3室2厅2卫,整租,精装修,高层(共22层),159.8 平方米,南北,3000,元/月,陈鹏
整租俩居室|湖山苑|保利上城|万达华府c区|0中j费|促销,2室1厅1卫,整租,精装修,低层(共29层),58.5 平方米,朝南,1400,元/月,李霄
阳台一居室|万达对面|湖山苑|保利上城|0中j费|植租|,1室1厅1卫,整租,精装修,低层(共33层),60.5 平方米,朝南,999,元/月,李霄
整租  |  万达旁一室一厅现代风温馨装修 押一付一 拎包入,1室1厅1卫,整租,精装修,高层(共30层),58.4 平方米,朝南,1500,元/月,李德胜
万达对面出门商场五店市一中学校都在旁边,4室2厅2卫,整租,精装修,中层(共32层),134.9 平方米,朝南,3300,元/月,庄丽红
百宏御璟天下 2室2厅1卫 72平 电梯房 看房方便,2室2厅1卫,整租,精装修,高层(共32层),72.6 平方米,朝南,1800,元/月,黄婷
隔音非常好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,低层(共32层),20 平方米,朝南,1250,元/月,王金标
独卫可做饭，百宏御璟天下，晋江万达对面，民用水电包物业,3室2厅2卫,合租,豪华装修,中层(共24层),50 平方米,南北,900,元/月,韩正军
万达旁精装边套两室出租，高楼层采光好，拎包入住,2室2厅1卫,整租,精装修,中层(共32层),68.3 平方米,朝南,2000,元/月,刘敏
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,中层(共32层),20 平方米,朝南,1500,元/月,匡亚雨
万达商场写字永晟金融厦竹苑小学五店市都在对面,4室2厅2卫,整租,精装修,高层(共32层),135 平方米,朝南,2400,元/月,庄丽红
划算！定期消毒！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,低层(共32层),20 平方米,朝南,1200,元/月,王金标
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,中层(共32层),20 平方米,朝南,1300,元/月,匡亚雨
隔音好！划算！保利上城|万达广场|万达华府C区|桂华苑,1室1厅1卫,整租,精装修,低层(共32层),20 平方米,朝南,1000,元/月,匡亚雨
百宏御璟天下 1室0厅1卫,1室0厅1卫,整租,精装修,中层(共31层),35 平方米,朝南,1100,元/月,
特价 朝南主卧 近江滨公园 百宏御景天下,1室1厅1卫,整租,精装修,低层(共10层),60.2 平方米,朝南,950,元/月,丁健
轻奢公寓|o中j费|万达华府|保利上城|民用水电|植租,1室1厅1卫,整租,精装修,低层(共33层),40 平方米,朝南,900,元/月,李霄
特价一室 万达华府 晋江万达 可月付 湖山苑,1室1厅1卫,整租,精装修,低层(共15层),60.2 平方米,朝南,950,元/月,丁健
特价 阳台一室 可月付 湖山苑 万达 百宏,1室1厅1卫,整租,精装修,低层(共15层),60.2 平方米,朝南,950,元/月,丁健
